time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,train/actor_loss
106,34,3622,900,9.34593556,4.0,0.07361119240522385,0.001,2621,0.002311335876584053,-8.376075744628906,-9.127740859985352
106,34,3638,904,9.34633973,4.0,0.07247684895992279,0.001,2637,0.0016418547602370381,-8.433948516845703,-9.263941764831543
105,34,3654,908,9.34975439,4.0,0.07136010378599167,0.001,2653,0.0022740992717444897,-8.444092750549316,-9.226773262023926
105,34,3670,912,9.347868839999999,4.0,0.07025505602359772,0.001,2669,0.004386758431792259,-8.536205291748047,-9.265899658203125
105,34,3686,916,9.34677776,4.0,0.06916611641645432,0.001,2685,0.0013460732297971845,-8.418088912963867,-9.170255661010742
105,35,3702,920,9.346341399999998,4.0,0.06810241937637329,0.001,2701,0.001454568700864911,-8.534214973449707,-9.20998477935791
105,35,3718,924,9.3474216,4.0,0.06705213338136673,0.001,2717,0.0019035844597965479,-8.571462631225586,-9.151163101196289
105,35,3735,928,9.3458746,4.01,0.0659560039639473,0.001,2734,0.0025556632317602634,-8.623255729675293,-9.185469627380371
105,35,3751,932,9.34310154,4.01,0.06494123488664627,0.001,2750,0.0016322789015248418,-8.773369789123535,-9.213440895080566
105,35,3767,936,9.34372106,4.01,0.06393942981958389,0.001,2766,0.0016681583365425467,-8.652603149414062,-9.146025657653809
104,36,3783,940,9.342375120000002,4.01,0.06295429170131683,0.001,2782,0.0058475155383348465,-8.734029769897461,-9.216496467590332
104,36,3799,944,9.348136890000001,4.01,0.061988651752471924,0.001,2798,0.002019183710217476,-8.891298294067383,-9.067160606384277
104,36,3815,948,9.352026410000002,4.01,0.06103703752160072,0.001,2814,0.0008764916565269232,-9.019424438476562,-9.136290550231934
104,36,3831,952,9.35703221,4.01,0.0601060651242733,0.001,2830,0.0011579093988984823,-8.893399238586426,-9.112589836120605
104,36,3847,956,9.356454820000002,4.01,0.059187356382608414,0.001,2846,0.004177585709840059,-8.921067237854004,-9.090070724487305
104,37,3863,960,9.362579340000002,4.01,0.05828150734305382,0.001,2862,0.0014683888293802738,-9.114837646484375,-9.1392183303833
104,37,3879,964,9.363197050000002,4.01,0.05739224702119827,0.001,2878,0.0025009168311953545,-8.8338623046875,-9.123835563659668
